"","Date.x","Population","TrapAvailability","AnimalID","Trap","Captured","MeanScore","Sex","Age","Date.y","Total_prev_caps"
"1","2022-03-29","Boyicup",0.101,"19420ANEAA","BOY12",1,13,"F","A","2022-03-29",1
"2","2022-03-29","Boyicup",0.101,"18921ANEAA","BOY13",1,10,"M","A","2022-03-29",2
"3","2022-03-29","Boyicup",0.101,"18457ANEAA","BOY14",1,11,"M","A","2022-03-29",3
"4","2022-03-29","Boyicup",0.101,"19417ANEAA","BOY16",1,12,"M","A","2022-03-29",1
"5","2022-03-29","Boyicup",0.101,"18904ANEAA","BOY17",1,10,"F","A","2022-03-29",2
"6","2022-03-29","Boyicup",0.101,"19416ANEAA","BOY19",1,11,"M","A","2022-03-29",1
"7","2022-03-29","Boyicup",0.101,"19415ANEAA","BOY20",1,11,"F","A","2022-03-29",1
"8","2022-03-29","Boyicup",0.101,"16788ANEAA","BOY23",1,9,"F","A","2022-03-29",12
"9","2022-03-29","Boyicup",0.101,"17432ANEAA","BOY24",1,8.66666666666667,"F","A","2022-03-29",9
"10","2022-03-29","Boyicup",0.101,"16758ANEAA","BOY25",1,12,"F","A","2022-03-29",6
"11","2022-03-29","Boyicup",0.101,"17654ANEAA","BOY29",1,7,"F","A","2022-03-29",6
"12","2022-03-29","Boyicup",0.101,"19421ANEAA","BOY30",1,9,"M","A","2022-03-29",1
"13","2022-03-29","Boyicup",0.101,"18447ANEAA","BOY36",1,5,"M","A","2022-03-29",4
"14","2022-03-29","Boyicup",0.101,"19413ANEAA","BOY44",1,1,"F","A","2022-03-29",1
"15","2022-03-29","Boyicup",0.101,"18872ANEAA","BOY48",1,9,"F","A","2022-03-29",2
"16","2022-03-29","Boyicup",0.101,"19414ANEAA","BOY49",1,12,"M","A","2022-03-29",1
"17","2022-03-30","Boyicup",0.101,"19420ANEAA",NA,0,13,"F","A","2022-03-29",1
"18","2022-03-30","Boyicup",0.101,"18921ANEAA",NA,0,10,"M","A","2022-03-29",2
"19","2022-03-30","Boyicup",0.101,"18457ANEAA",NA,0,11,"M","A","2022-03-29",3
"20","2022-03-30","Boyicup",0.101,"19417ANEAA",NA,0,12,"M","A","2022-03-29",1
"21","2022-03-30","Boyicup",0.101,"18904ANEAA",NA,0,10,"F","A","2022-03-29",2
"22","2022-03-30","Boyicup",0.101,"19416ANEAA",NA,0,11,"M","A","2022-03-29",1
"23","2022-03-30","Boyicup",0.101,"19415ANEAA",NA,0,11,"F","A","2022-03-29",1
"24","2022-03-30","Boyicup",0.101,"16788ANEAA","BOY22",1,9,"F","A","2022-03-30",13
"25","2022-03-30","Boyicup",0.101,"17432ANEAA","BOY23",1,8.66666666666667,"F","A","2022-03-30",10
"26","2022-03-30","Boyicup",0.101,"16758ANEAA",NA,0,12,"F","A","2022-03-29",6
"27","2022-03-30","Boyicup",0.101,"17654ANEAA","BOY29",1,7,"F","A","2022-03-30",7
"28","2022-03-30","Boyicup",0.101,"19421ANEAA",NA,0,9,"M","A","2022-03-29",1
"29","2022-03-30","Boyicup",0.101,"18447ANEAA",NA,0,5,"M","A","2022-03-29",4
"30","2022-03-30","Boyicup",0.101,"19413ANEAA",NA,0,1,"F","A","2022-03-29",1
"31","2022-03-30","Boyicup",0.101,"18872ANEAA",NA,0,9,"F","A","2022-03-29",2
"32","2022-03-30","Boyicup",0.101,"19414ANEAA",NA,0,12,"M","A","2022-03-29",1
"33","2022-03-30","Boyicup",0.101,"17431ANEAA","BOY15",1,5.5,"F","A","2022-03-30",9
"34","2022-03-30","Boyicup",0.101,"19428ANEAA","BOY16",1,2,"M","A","2022-03-30",1
"35","2022-03-30","Boyicup",0.101,"19429ANEAA","BOY17",1,8,"M","A","2022-03-30",1
"36","2022-03-30","Boyicup",0.101,"17676ANEAA","BOY19",1,6,"F","A","2022-03-30",9
"37","2022-03-30","Boyicup",0.101,"17648ANEAA","BOY20",1,11,"M","A","2022-03-30",6
"38","2022-03-30","Boyicup",0.101,"19432ANEAA","BOY28",1,7,"F","A","2022-03-30",1
"39","2022-03-30","Boyicup",0.101,"18909ANEAA","BOY32",1,4,"F","A","2022-03-30",2
"40","2022-03-30","Boyicup",0.101,"19431ANEAA","BOY33",1,5,"M","S","2022-03-30",1
"41","2022-03-30","Boyicup",0.101,"18930ANEAA","BOY35",1,9,"F","A","2022-03-30",2
"42","2022-03-30","Boyicup",0.101,"18875ANEAA","BOY37",1,6,"M","A","2022-03-30",2
"43","2022-03-30","Boyicup",0.101,"17652ANEAA","BOY38",1,13,"M","A","2022-03-30",5
"44","2022-03-30","Boyicup",0.101,"18908ANEAA","BOY39",1,10.5,"M","A","2022-03-30",3
"45","2022-03-30","Boyicup",0.101,"18890ANEAA","BOY42",1,15,"M","A","2022-03-30",2
"46","2022-03-30","Boyicup",0.101,"19422ANEAA","BOY45",1,7,"F","A","2022-03-30",1
