,Individual_ID,Date,Haven,Cumulative_score,Handler,Translocation
1,252A,21/02/2023,Non-haven,6,CF,After
2,2167,21/02/2023,Haven,9,CF,After
3,5793,21/02/2023,Haven,7,DT,After
4,1F5B,21/02/2023,Non-haven,3,DT,After
5,F983,21/02/2023,Non-haven,9,DT,After
6,2167,22/02/2023,Haven,4,CF,After
7,252A,23/02/2023,Non-haven,4,TH,After
8,5793,22/02/2023,Haven,8,DS,After
9,5793,22/03/2023,Haven,4,DT,After
10,5793,23/02/2023,Haven,5,DT,After
11,1F5B,23/02/2023,Non-haven,2,DT,After
12,2080,26/02/2023,Non-haven,7,TH,After
13,2080,27/02/2023,Non-haven,6,TH,After
14,FAAD,26/02/2023,Non-haven,6,CF,After
15,2167,28/02/2023,Haven,9,DT,After
16,5670,28/02/2023,Haven,9,DT,After
17,8720,28/02/2023,Haven,12,CF,After
18,2330,28/02/2023,Non-haven,13,DS,After
19,EF15,1/03/2023,Non-haven,7,TH,After
20,8720,1/03/2023,Haven,13,CF,After
21,5670,1/03/2023,Haven,10,CF,After
22,F983,1/03/2023,Non-haven,11,DT,After
23,252A,1/03/2023,Non-haven,11,DT,After
24,8720,2/03/2023,Haven,8,TH,After
25,5670,2/03/2023,Haven,9,CF,After
26,F501,7/03/2023,Non-haven,9,DS,After
27,814,7/03/2023,Haven,10,DS,After
28,2330,7/03/2023,Non-haven,8,DS,After
29,1070,7/03/2023,Haven,7,DS,After
30,219C,7/03/2023,Non-haven,7,CF,After
31,8207,7/03/2023,Haven,11,CF,After
32,22D0,7/03/2023,Non-haven,8,CF,After
33,BC7F,7/03/2023,Non-haven,10,CF,After
34,C4BC,7/03/2023,Non-haven,11,CF,After
35,C4BC,8/03/2023,Non-haven,6,CF,After
36,BC7F,8/03/2023,Non-haven,8,CF,After
37,219C,8/03/2023,Non-haven,8,CF,After
38,1070,8/03/2023,Haven,6,DS,After
39,22D0,8/03/2023,Non-haven,6,DS,After
40,814,8/03/2023,Haven,7,DS,After
41,22D0,9/03/2023,Non-haven,10,DS,After
42,BC7F,9/03/2023,Non-haven,7,CF,After
43,814,28/06/2022,Haven,5,MM,Before
44,9200,28/06/2022,Haven,8,MM,Before
45,8720,28/06/2022,Haven,4,MM,Before
46,6493,28/06/2022,Haven,8,MM,Before
47,8728,28/06/2022,Haven,8,MM,Before
48,5692,28/06/2022,Haven,7,MM,Before
49,1776,28/06/2022,Haven,5,MM,Before
50,9836,28/06/2022,Haven,4,MM,Before
51,7382,28/06/2022,Haven,4,MM,Before
52,9648,28/06/2022,Haven,5,MM,Before
53,1966,28/06/2022,Haven,8,MM,Before
54,1212,28/06/2022,Haven,3,TH,Before
55,5670,28/06/2022,Haven,3,TH,Before
56,6571,28/06/2022,Haven,5,TH,Before
57,1240,28/06/2022,Haven,1,TH,Before
58,1258,28/06/2022,Haven,5,TH,Before
59,1070,28/06/2022,Haven,5,TH,Before
60,2167,28/06/2022,Haven,3,MR,Before
61,5070,28/06/2022,Haven,4,TH,Before
62,9971,28/06/2022,Haven,2,MR,Before
63,372,28/06/2022,Haven,4,TH,Before
64,257,28/06/2022,Haven,5,MR,Before
65,3058,29/06/2022,Haven,3,MR,Before
66,1070,29/06/2022,Haven,5,TH,Before
67,9560,29/06/2022,Haven,4,MR,Before
68,218,29/06/2022,Haven,6,TH,Before
69,3002,29/06/2022,Haven,5,MR,Before
70,5357,29/06/2022,Haven,6,MR,Before
71,3498,29/06/2022,Haven,5,TH,Before
72,5670,29/06/2022,Haven,6,TH,Before
73,4014,29/06/2022,Haven,4,TH,Before
74,846,29/06/2022,Haven,2,MR,Before
75,7636,29/06/2022,Haven,4,TH,Before
76,2098,29/06/2022,Haven,1,MR,Before
77,5793,29/06/2022,Haven,3,TH,Before
78,814,29/06/2022,Haven,6,MR,Before
79,DL1565,28/06/2022,Non-haven,12,SK,Before
80,DL6459,28/06/2022,Non-haven,6,SK,Before
81,DL6460,28/06/2022,Non-haven,4,SK,Before
82,2080,28/06/2022,Non-haven,7,SK,Before
83,DL3133,28/06/2022,Non-haven,3,SK,Before
84,DL6464,28/06/2022,Non-haven,3,SK,Before
85,DL6466,28/06/2022,Non-haven,8,SK,Before
86,DL6468,28/06/2022,Non-haven,8,SK,Before
87,DL6470,28/06/2022,Non-haven,9,SK,Before
88,DL6808,28/06/2022,Non-haven,7,SK,Before
89,DL1739,28/06/2022,Non-haven,5,SK,Before
90,DL6472,28/06/2022,Non-haven,10,SK,Before
91,DL8151,28/06/2022,Non-haven,5,SK,Before
92,DL1569,28/06/2022,Non-haven,9,SK,Before
93,DL3646,28/06/2022,Non-haven,6,SK,Before
94,DL1513,28/06/2022,Non-haven,14,SK,Before
95,F501,28/06/2022,Non-haven,7,SK,Before
96,BC7F,28/06/2022,Non-haven,5,SK,Before
97,DL8157,29/06/2022,Non-haven,4,SK,Before
98,DL3133,29/06/2022,Non-haven,5,SK,Before
99,DL1810,29/06/2022,Non-haven,5,SK,Before
100,F983,29/06/2022,Non-haven,8,SK,Before
