,Date,Trap,Site,Animal_No,Microchip,Left_ear,Right_ear,Sex,Repro_status,PY_CR,Age,Time,Handler,Approach,Bag_on,Door_open,Bag_before,Bag_during,Vocalise,Heavy_breathing,Trap_damage,Joey_eject,No_Caps,previous_captures,Total_prev_caps,Cumulative_score,Haven,Region,Animal_ID
1,15/03/2022,F17,PerupSanctuary,16939ANEAA,9.56E+14,DN8061,DN8062,M,NA,NA,A,6.23,1,3,3,3,1,3,1,1,0,NA,2,1,3,13,Havened,UpperWarren,16939ANEAA
2,15/03/2022,F18,PerupSanctuary,19305ANEAA,9.56E+14,DL4990,DL4991,F,SUCKLING,20,A,6.38,1,3,3,3,1,1,0,0,0,0,0,1,1,11,Havened,UpperWarren,19305ANEAA
3,15/03/2022,F19,PerupSanctuary,18999ANEAA,9.56E+14,DL4803,DL4804,M,NA,NA,A,6.34,2,1,1,1,0,0,0,1,0,NA,2,1,3,3,Havened,UpperWarren,18999ANEAA
4,15/03/2022,F20,PerupSanctuary,19010ANEAA,9.56E+14,DN8683,DN8684,F,SUCKLING,20,A,6.46,2,1,1,1,1,1,0,0,0,0,1,1,2,5,Havened,UpperWarren,19010ANEAA
5,15/03/2022,G11,PerupSanctuary,17999ANEAA,9.56E+14,DL4705,DN8483,F,SUCKLING,40,A,6.43,3,0,0,0,1,1,0,0,0,0,1,1,2,2,Havened,UpperWarren,17999ANEAA
6,15/03/2022,G12,PerupSanctuary,19298ANEAA,9.56E+14,DL4708,DL4709,F,SUCKLING,30,A,7.2,3,3,3,3,1,0,0,0,0,NA,0,1,1,10,Havened,UpperWarren,19298ANEAA
7,15/03/2022,G15,PerupSanctuary,18248ANEAA,9.56E+14,DN8192,DN8193,F,SUC_LACA,20,A,6.24,6,0,1,2,0,0,0,0,0,0,10,1,11,3,Havened,UpperWarren,18248ANEAA
8,15/03/2022,H11,PerupSanctuary,16862ANEAA,9.56E+14,DN8162,DL4719,F,SUCKLING,45,A,6.2,3,1,0,3,2,1,0,0,0,0,4,1,5,7,Havened,UpperWarren,16862ANEAA
9,15/03/2022,H16,PerupSanctuary,19303ANEAA,9.56E+14,DL4813,DL4814,M,NA,NA,S,6.5,6,0,2,2,0,0,0,0,0,NA,0,1,1,4,Havened,UpperWarren,19303ANEAA
10,15/03/2022,H20,PerupSanctuary,19296ANEAA,9.56E+14,DL4199,DL4200,F,PAR_NOAC,NA,A,7.08,2,0,1,1,1,2,1,0,0,NA,0,1,1,5,Havened,UpperWarren,19296ANEAA
11,15/03/2022,I11,PerupSanctuary,17400ANEAA,9.56E+14,DN8134,DN8135,M,NA,NA,A,8.19,5,1,2,2,1,1,1,0,0,NA,16,1,17,7,Havened,UpperWarren,17400ANEAA
12,15/03/2022,I12,PerupSanctuary,19299ANEAA,9.56E+14,DL4710,DL4711,F,ACTV_PCH,NA,A,7.38,3,3,3,2,0,0,0,0,0,0,0,1,1,8,Havened,UpperWarren,19299ANEAA
13,15/03/2022,I16,PerupSanctuary,18628ANEAA,9.56E+14,DN7974,DL4015,F,SUCKLING,50,A,7.03,6,0,0,2,0,1,0,0,0,0,3,1,4,3,Havened,UpperWarren,18628ANEAA
14,15/03/2022,I18,PerupSanctuary,17039ANEAA,9.56E+14,DN8299,DN8300,M,NA,NA,A,6.57,1,1,1,1,1,2,1,1,0,NA,14,1,15,6,Havened,UpperWarren,17039ANEAA
15,15/03/2022,I19,PerupSanctuary,17406ANEAA,9.56E+14,DN8824,DN7973,F,NOT_REC,NA,A,8.38,6,0,1,2,0,1,0,0,0,NA,5,1,6,4,Havened,UpperWarren,17406ANEAA
16,15/03/2022,I20,PerupSanctuary,17367ANEAA,9.56E+14,DN8878,DN8879,M,NA,NA,A,7.2,2,1,2,1,1,1,1,1,0,NA,15,1,16,6,Havened,UpperWarren,17367ANEAA
17,15/03/2022,J11,PerupSanctuary,17397ANEAA,9.56E+14,DN8356,DN8357,F,ACTV_PCH,NA,A,8.3,5,2,1,2,1,1,1,0,0,NA,8,1,9,7,Havened,UpperWarren,17397ANEAA
18,15/03/2022,J12,PerupSanctuary,19300ANEAA,9.56E+14,DL 4712,DL4713,M,NA,NA,A,7.55,3,3,3,2,3,1,1,0,0,NA,0,1,1,12,Havened,UpperWarren,19300ANEAA
19,15/03/2022,J14,PerupSanctuary,19020ANEAA,9.56E+14,DL4024,DL4025,F,LACTATNG,NA,A,6.36,5,2,2,2,1,1,0,0,0,0,1,1,2,8,Havened,UpperWarren,19020ANEAA
20,15/03/2022,J15,PerupSanctuary,14962ANEAA,9.56E+14,DN8464,DL4815,M,NA,NA,A,8.09,6,0,1,2,0,0,0,0,0,NA,15,1,16,3,Havened,UpperWarren,14962ANEAA
21,15/03/2022,J16,PerupSanctuary,15631ANEAA,9.56E+14,DN7285,DN7286,M,NA,NA,A,7.15,6,0,0,2,0,1,0,0,0,NA,17,1,18,3,Havened,UpperWarren,15631ANEAA
22,15/03/2022,J17,PerupSanctuary,18609ANEAA,9.56E+14,DL4403,DL4404,F,SUCKLING,60,A,8.36,1,1,0,0,0,1,0,0,0,NA,7,1,8,2,Havened,UpperWarren,18609ANEAA
23,15/03/2022,J19,PerupSanctuary,19304ANEAA,9.56E+14,DL4816,DL4817,F,UNDEVLPD,NA,S,8.49,6,0,0,3,0,0,0,0,0,0,0,1,1,3,Havened,UpperWarren,19304ANEAA
24,15/03/2022,J20,PerupSanctuary,18998ANEAA,9.56E+14,DL4013,DL4014,M,NA,NA,A,7.29,2,2,1,1,1,1,0,0,0,NA,2,1,3,6,Havened,UpperWarren,18998ANEAA
25,15/03/2022,K12,PerupSanctuary,19025ANEAA,9.56E+14,DL4934,DL4935,F,PAR_NOAC,NA,A,8.09,3,3,3,2,3,1,1,1,0,NA,1,1,2,12,Havened,UpperWarren,19025ANEAA
26,15/03/2022,K13,PerupSanctuary,19302ANEAA,9.56E+14,DL4284,DL4285,F,UNDEVLPD,NA,S,7.49,5,2,1,1,1,1,0,0,0,0,0,1,1,6,Havened,UpperWarren,19302ANEAA
27,15/03/2022,K14,PerupSanctuary,19301ANEAA,9.56E+14,DL4282,DL4283,F,PAR_NOAC,NA,A,6.49,5,1,2,2,1,1,1,0,0,0,0,1,1,7,Havened,UpperWarren,19301ANEAA
28,15/03/2022,K17,PerupSanctuary,18610ANEAA,9.56E+14,DL4405,DL4406,M,NA,NA,A,8.27,1,1,2,2,1,1,0,0,0,NA,8,1,9,7,Havened,UpperWarren,18610ANEAA
29,15/03/2022,K18,PerupSanctuary,16967ANEAA,9.56E+14,DN8826,DN8331,M,NA,NA,A,7.12,1,1,2,2,2,1,0,0,0,0,25,1,26,8,Havened,UpperWarren,16967ANEAA
30,15/03/2022,L13,PerupSanctuary,15150ANEAA,9.56E+14,DN3641,DN3642,M,NA,NA,A,7.4,5,3,2,2,1,2,0,0,0,NA,36,1,37,10,Havened,UpperWarren,15150ANEAA
31,15/03/2022,L18,PerupSanctuary,17873ANEAA,9.56E+14,DN8460,DN8461,F,ACTV_PCH,NA,A,7.24,1,1,1,2,2,1,0,0,0,NA,16,1,17,7,Havened,UpperWarren,17873ANEAA
32,15/03/2022,L19,PerupSanctuary,16962ANEAA,9.56E+14,DN8717,DN8606,M,NA,NA,A,8.5,2,2,1,1,1,0,0,0,0,NA,17,1,18,5,Havened,UpperWarren,16962ANEAA
33,15/03/2022,M15,PerupSanctuary,13785ANEAA,9.56E+14,DN5427,DN5426,M,NA,NA,A,7.53,6,2,2,2,0,1,0,1,0,NA,37,2,39,7,Havened,UpperWarren,13785ANEAA
