"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1","BOY11",1,"Exploration",58.984,"Boyicup","GRBL","2022-04-15 20:52:00","C",1,"BOY11",9.648,0.163569781635698,"Non-havened","Upper_Warren",0.494
"2","BOY12",1,"Exploration",7.457,"Boyicup","TASH","2022-04-15 22:57:00","C",1,"BOY12",7.457,1,"Non-havened","Upper_Warren",0.494
"3","BOY13",1,"Exploration",11.153,"Boyicup","TASH","2022-04-15 18:52:00","F",1,NA,0,0,"Non-havened","Upper_Warren",0.494
"4","BOY14",1,"Exploration",6.47,"Boyicup","TASH","2022-04-18 18:20:00","F",1,"BOY14",3.95,0.610510046367852,"Non-havened","Upper_Warren",0.494
"5","BOY15",1,"Exploration",15.924,"Boyicup","TASH","2022-04-18 22:26:00","C",1,"BOY15",12.025,0.75514945993469,"Non-havened","Upper_Warren",0.494
"6","BOY16",1,"Exploration",87.108,"Boyicup","TASH","2022-04-18 18:55:00","C",1,"BOY16",38.85,0.445998071359691,"Non-havened","Upper_Warren",0.494
"7","BOY2",1,"Exploration",89.23,"Boyicup","HAZE","2022-04-15 19:40:00","F",1,"BOY2",47.606,0.533520116552729,"Non-havened","Upper_Warren",0.494
"8","BOY22",1,"Exploration",44.161,"Boyicup","GRBL","2022-04-19 19:00:00","F",2,"BOY22",14.94,0.338307556441204,"Non-havened","Upper_Warren",0.494
"9","BOY3",1,"Exploration",7.478,"Boyicup","HAZE","2022-04-15 21:23:00","C",1,"BOY3",1.29,0.172506017651779,"Non-havened","Upper_Warren",0.494
"10","BOY4",1,"Exploration",18.918,"Boyicup","HAZE","2022-04-17 01:37:00","C",2,"BOY4",17.584,0.929485146421398,"Non-havened","Upper_Warren",0.494
"11","BOY5",1,"Exploration",14.485,"Boyicup","HAZE","2022-04-17 19:16:00","F",3,"BOY5",9.723,0.67124611667242,"Non-havened","Upper_Warren",0.494
"12","BOY6",1,"Exploration",23.089,"Boyicup","HAZE","2022-04-16 02:00:00","C",1,"BOY6",18.423,0.797912425830482,"Non-havened","Upper_Warren",0.494
"13","BOY7",1,"Exploration",224.03,"Boyicup","GRBL","2022-04-16 20:21:00","F",2,"BOY7",186.846,0.834022229165737,"Non-havened","Upper_Warren",0.494
"14","BOY8",1,"Exploration",2.875,"Boyicup","GRBL","2022-04-15 22:01:00","F",1,NA,0,0,"Non-havened","Upper_Warren",0.494
"15","BOY9",1,"Exploration",35.589,"Boyicup","GRBL","2022-04-15 21:00:00","C",1,"BOY9",18.909,0.531315856022928,"Non-havened","Upper_Warren",0.494
"16","G12",1,"Exploration",438.656,"Perup_Sanctuary","HAZE","2022-04-22 21:35:00","F",1,"G12",104.562,0.238369018091625,"Havened","Upper_Warren",0.83
"17","G14",1,"Exploration",15.702,"Perup_Sanctuary","HAZE","2022-04-08 18:34:00","F",3,"G14",4.482,0.285441345051586,"Havened","Upper_Warren",0.83
"18","G16",1,"Exploration",20.459,"Perup_Sanctuary","HAZE","2022-04-16 19:58:00","F",1,"G16",13.957,0.682193655603891,"Havened","Upper_Warren",0.83
"19","H13",1,"Exploration",687.085,"Perup_Sanctuary","HAZE","2022-04-22 18:12:00","C",1,"H13",304.873,0.443719481577971,"Havened","Upper_Warren",0.83
"20","H15",1,"Exploration",22.797,"Perup_Sanctuary","GRBL","2022-04-19 17:56:00","C",1,"H15",12.199,0.535114269421415,"Havened","Upper_Warren",0.83
"21","I14",1,"Exploration",141.568,"Perup_Sanctuary","GRBL","2022-04-19 18:08:00","F",1,"I14",25.396,0.17939082278481,"Havened","Upper_Warren",0.83
"22","I16",1,"Exploration",114.675,"Perup_Sanctuary","TASH","2022-04-16 19:42:00","C",1,"I16",100.322,0.874837584477872,"Havened","Upper_Warren",0.83
"23","I19",1,"Exploration",33.526,"Perup_Sanctuary","TASH","2022-04-13 18:17:00","F",1,"I19",24.795,0.73957525502595,"Havened","Upper_Warren",0.83
"24","J15",1,"Exploration",160.771,"Perup_Sanctuary","TASH","2022-04-19 18:14:00","C",1,"J15",112.878,0.70210423521655,"Havened","Upper_Warren",0.83
"25","K12",1,"Exploration",123.704,"Perup_Sanctuary","GRBL","2022-04-22 19:15:00","C",1,"K12",25.468,0.205878548793895,"Havened","Upper_Warren",0.83
"26","K14",1,"Exploration",29.553,"Perup_Sanctuary","GRBL","2022-04-19 19:57:00","C",1,"K14",28.529,0.965350387439516,"Havened","Upper_Warren",0.83
"27","MOO16",1,"Exploration",6.099,"Moopinup","GRBL","2022-04-17 19:44:00","C",1,NA,0,0,"Non-havened","Upper_Warren",0.346
"28","MOO18",1,"Exploration",73.397,"Moopinup","GRBL","2022-04-17 22:48:00","C",1,"MOO18",58.675,0.799419594806327,"Non-havened","Upper_Warren",0.346
"29","MOO19",1,"Exploration",23.249,"Moopinup","GRBL","2022-04-17 20:25:00","F",1,"MOO19",19.825,0.852724848380575,"Non-havened","Upper_Warren",0.346
"30","MOO20",1,"Exploration",31.163,"Moopinup","GRBL","2022-04-19 01:01:00","C",2,"MOO20",7.368,0.236434232904406,"Non-havened","Upper_Warren",0.346
"31","MOO3",1,"Exploration",18.248,"Moopinup","TASH","2022-04-15 01:24:00","C",1,"MOO3",17.199,0.942514248136782,"Non-havened","Upper_Warren",0.346
"32","MOO4",1,"Exploration",11.675,"Moopinup","TASH","2022-04-16 00:08:00","C",2,"MOO4",9.377,0.803169164882227,"Non-havened","Upper_Warren",0.346
"33","MOO5",1,"Exploration",54.805,"Moopinup","TASH","2022-04-16 21:12:00","F",3,"MOO5",39.827,0.726703767904388,"Non-havened","Upper_Warren",0.346
"34","MOO6",1,"Exploration",16.968,"Moopinup","TASH","2022-04-15 01:01:00","C",1,"MOO6",6.501,0.383132956152758,"Non-havened","Upper_Warren",0.346
"35","NH03",1,"Exploration",27.095,"DNWS","TASH","2022-10-10 22:33:00","C",1,"NH03",16.212,0.598339176969921,"Havened","Dryandra",1.185
"36","NH04",1,"Exploration",89.651,"Dryandra_main","TASH","2022-09-18 19:18:00","C",3,"NH04",77.825,0.868088476425249,"Non-havened","Dryandra",1.39
"37","NH08",1,"Exploration",91.999,"Dryandra_main","TASH","2022-10-17 23:12:00","F",1,"NH08",78.957,0.858237589539017,"Non-havened","Dryandra",1.39
"38","NH12",1,"Exploration",24.467,"Dryandra_main","TASH","2022-10-17 20:01:00","C",1,"NH12",18.474,0.75505783299955,"Non-havened","Dryandra",1.39
"39","NH15",1,"Exploration",77.721,"Dryandra_main","TASH","2022-10-17 19:16:00",NA,1,"NH15",52.56,0.676265102095959,"Non-havened","Dryandra",1.39
"40","NH24",1,"Exploration",2.826,"Dryandra_main","TASH","2022-10-17 20:36:00","C",1,"NH24",2.826,1,"Non-havened","Dryandra",1.39
"41","NH31",1,"Exploration",26.028,"DNWS","TASH","2022-10-10 19:55:00","F",1,"NH31",19.602,0.753112033195021,"Havened","Dryandra",1.185
"42","NH32",1,"Exploration",72.144,"Dryandra_main","TASH","2022-10-17 20:41:00","C",1,"NH32",53.605,0.743027833222444,"Non-havened","Dryandra",1.39
"43","NH36",1,"Exploration",9.852,"DNWS","TASH","2022-10-10 18:57:00","C",1,"NH36",8.703,0.883373934226553,"Havened","Dryandra",1.185
"44","NH38",1,"Exploration",6.078,"DNWS","TASH","2022-10-11 00:41:00","F",1,"NH38",5.099,0.838927278710102,"Havened","Dryandra",1.185
"45","NH42",1,"Exploration",25.168,"DNWS","TASH","2022-10-10 19:25:00","F",1,"NH42",23.942,0.951287349014622,"Havened","Dryandra",1.185
"46","NH47",1,"Exploration",112.568,"DNWS","TASH","2022-10-10 21:13:00","C",1,"NH47",92.176,0.81884727453628,"Havened","Dryandra",1.185
"47","NH51",1,"Exploration",17.321,"DNWS","TASH","2022-09-11 20:43:00","C",3,"NH51",14.173,0.818255297038277,"Havened","Dryandra",1.185
"48","NH55",1,"Exploration",70.194,"Dryandra_main","TASH","2022-10-19 21:40:00","C",3,"NH55",42.768,0.60928284468758,"Non-havened","Dryandra",1.39
"49","NH57",1,"Exploration",32.001,"Dryandra_main","TASH","2022-10-20 03:02:00","F",3,"NH57",26.75,0.835911377769445,"Non-havened","Dryandra",1.39
"50","NH58",1,"Exploration",12.249,"DNWS","TASH","2022-10-10 20:00:00","C",1,"NH58",10.401,0.849130541268675,"Havened","Dryandra",1.185
"51","NH59",1,"Exploration",97.892,"Dryandra_main","TASH","2022-10-17 20:52:00","C",1,"NH59",85.109,0.869417317043272,"Non-havened","Dryandra",1.39
"52","NH60",1,"Exploration",67.937,"DNWS","TASH","2020-10-10 21:24:00","C",3,"NH60",45.113,0.664041685679379,"Havened","Dryandra",1.185
"53","NH62",1,"Exploration",56.369,"Dryandra_main","TASH","2022-10-17 20:01:00","C",1,"NH62",54.916,0.974223420674484,"Non-havened","Dryandra",1.39
"54","NH63",1,"Exploration",30.877,"Dryandra_main","TASH","2022-10-17 19:13:00","C",1,"NH63",14.149,0.458237523075428,"Non-havened","Dryandra",1.39
"55","NH64",1,"Exploration",40.077,"DNWS","TASH","2022-10-10 19:16:00","C",1,"NH64",27.821,0.694188686777953,"Havened","Dryandra",1.185
"56","NH65",1,"Exploration",35.9,"Dryandra_main","TASH","2020-10-18 00:54:00","F",3,"NH65",25.349,0.706100278551532,"Non-havened","Dryandra",1.39
"57","NH68",1,"Exploration",117.495,"Dryandra_main","TASH","2022-10-18 01:18:00","F",1,"NH68",59.245,0.504234222732882,"Non-havened","Dryandra",1.39
"58","NH74",1,"Exploration",3.921,"Dryandra_main","GRBL","2022-10-17 19:09:00","C",1,NA,0,0,"Non-havened","Dryandra",1.39
"59","WWF10",1,"Exploration",155.735,"Dryandra_main","GRBL","2022-10-18 03:18:00","F",1,"WWF10",123.452,0.792705557517578,"Non-havened","Dryandra",1.39
"60","WWF12",1,"Exploration",32.475,"DNWS","GRBL","2022-10-11 20:04:00","C",2,"WWF12",18.423,0.56729792147806,"Havened","Dryandra",1.185
"61","WWF16",1,"Exploration",40.329,"DNWS","TASH","2022-10-10 21:49:00","F",1,"WWF16",34.586,0.857596270673709,"Havened","Dryandra",1.185
"62","WWF18",1,"Exploration",7.175,"DNWS","TASH","2022-10-11 04:22:00","F",1,NA,0,0,"Havened","Dryandra",1.185
"63","WWF21",1,"Exploration",82.465,"DNWS","TASH","2022-10-10 19:27:00","F",1,"WWF21",66.354,0.804632268235009,"Havened","Dryandra",1.185
"64","WWF4",1,"Exploration",30.061,"DNWS","GRBL","2022-10-10 21:33:00","F",1,"WWF4",9.499,0.315990818668707,"Havened","Dryandra",1.185
"65","WWF6",1,"Exploration",280.932,"Dryandra_main","GRBL","2022-10-17 23:38:00","F",1,"WWF6",151.476,0.539190978599803,"Non-havened","Dryandra",1.39
"66","WWF7",1,"Exploration",81.917,"DNWS","GRBL","2022-10-11 01:52:00","C",1,"WWF7",32.636,0.398403261838202,"Havened","Dryandra",1.185
"67","WWF9",1,"Exploration",1.52,"DNWS","GRBL","2022-10-11 03:46:00","F",1,NA,0,0,"Havened","Dryandra",1.185
"68","BOY11",2,"Exploration",56.539,"Boyicup","GRBL","2022-04-15 20:55:00","C",1,"BOY11",20.49,0.362404711791861,"Non-havened","Upper_Warren",0.494
"69","BOY13",2,"Exploration",12.223,"Boyicup","TASH","2022-04-15 18:56:00","F",1,"BOY13",9.825,0.803812484660067,"Non-havened","Upper_Warren",0.494
"70","BOY14",2,"Exploration",0.744,"Boyicup","TASH","2022-04-18 18:31:00","F",1,"BOY14",0.744,1,"Non-havened","Upper_Warren",0.494
"71","BOY15",2,"Exploration",9.871,"Boyicup","TASH","2022-04-18 22:29:00","C",1,"BOY15",6.968,0.705906189849053,"Non-havened","Upper_Warren",0.494
"72","BOY22",2,"Exploration",260.549,"Boyicup","GRBL","2022-04-19 19:27:00","F",2,"BOY22",106.441,0.408525843507363,"Non-havened","Upper_Warren",0.494
"73","BOY3",2,"Exploration",46.578,"Boyicup","HAZE","2022-04-15 21:26:00","C",1,"BOY3",26.746,0.574219588647001,"Non-havened","Upper_Warren",0.494
"74","BOY5",2,"Exploration",79.618,"Boyicup","HAZE","2022-04-17 19:20:00","F",3,"BOY5",59.497,0.747280765656007,"Non-havened","Upper_Warren",0.494
"75","BOY6",2,"Exploration",61.335,"Boyicup","HAZE","2022-04-16 18:47:00","C",2,"BOY6",55.972,0.912562158636994,"Non-havened","Upper_Warren",0.494
"76","BOY7",2,"Exploration",54.706,"Boyicup","GRBL","2022-04-16 20:36:00","F",2,"BOY7",39.496,0.721968339853033,"Non-havened","Upper_Warren",0.494
"77","BOY8",2,"Exploration",29.127,"Boyicup","GRBL","2022-04-16 18:50:00","F",2,"BOY8",17.306,0.594156624437807,"Non-havened","Upper_Warren",0.494
"78","BOY9",2,"Exploration",67.252,"Boyicup","GRBL","2022-04-15 21:04:00","C",1,"BOY9",29.092,0.432581930648903,"Non-havened","Upper_Warren",0.494
"79","G12",2,"Exploration",197.052,"Perup_Sanctuary","HAZE","2022-04-22 21:50:00","F",1,"G12",24.002,0.121805411769482,"Havened","Upper_Warren",0.83
"80","G16",2,"Exploration",17.728,"Perup_Sanctuary","HAZE","2022-04-16 20:45:00","F",1,"G16",16.601,0.936428249097473,"Havened","Upper_Warren",0.83
"81","H13",2,"Exploration",63.507,"Perup_Sanctuary","HAZE","2022-04-22 18:40:00","C",1,"H13",55.876,0.879840017635851,"Havened","Upper_Warren",0.83
"82","H15",2,"Exploration",7.924,"Perup_Sanctuary","GRBL","2022-04-19 18:00:00","C",1,"H15",6.374,0.804391721352852,"Havened","Upper_Warren",0.83
"83","I14",2,"Exploration",44.181,"Perup_Sanctuary","GRBL","2022-04-19 18:11:00","F",1,"I14",4.821,0.109119304678482,"Havened","Upper_Warren",0.83
"84","I16",2,"Exploration",74.339,"Perup_Sanctuary","TASH","2022-04-16 19:49:00","C",1,"I16",53.12,0.714564360564441,"Havened","Upper_Warren",0.83
"85","I19",2,"Exploration",59.379,"Perup_Sanctuary","TASH","2022-04-13 18:28:00","F",1,"I19",47.588,0.801428114316509,"Havened","Upper_Warren",0.83
"86","J15",2,"Exploration",40.198,"Perup_Sanctuary","TASH","2022-04-19 18:25:00","C",1,"J15",16.2,0.403005124633066,"Havened","Upper_Warren",0.83
"87","K12",2,"Exploration",13.994,"Perup_Sanctuary","GRBL","2022-04-22 19:23:00","C",1,"K12",11.422,0.816206945833929,"Havened","Upper_Warren",0.83
"88","K14",2,"Exploration",13.864,"Perup_Sanctuary","GRBL","2022-04-19 20:02:00","C",1,"K14",6.674,0.481390652048471,"Havened","Upper_Warren",0.83
"89","MOO20",2,"Exploration",61.836,"Moopinup","GRBL","2022-04-19 01:07:00","C",2,"MOO20",17.867,0.288941716799276,"Non-havened","Upper_Warren",0.346
"90","MOO4",2,"Exploration",12.518,"Moopinup","TASH","2022-04-16 00:11:00","C",2,"MOO4",3.04,0.242850295574373,"Non-havened","Upper_Warren",0.346
"91","MOO6",2,"Exploration",18.393,"Moopinup","TASH","2022-04-16 19:07:00","C",3,"MOO6",9.628,0.523460011961072,"Non-havened","Upper_Warren",0.346
"92","NH03",2,"Exploration",4.838,"DNWS","TASH","2022-10-10 22:59:00","C",1,"NH03",2.911,0.601694915254237,"Havened","Dryandra",1.185
"93","NH08",2,"Exploration",34.126,"Dryandra_main","TASH","2022-10-17 23:16:00","F",1,"NH08",13.2,0.386801851960382,"Non-havened","Dryandra",1.39
"94","NH12",2,"Exploration",92.462,"Dryandra_main","TASH","2022-10-18 23:21:00","C",2,"NH12",23.127,0.250124375419091,"Non-havened","Dryandra",1.39
"95","NH32",2,"Exploration",45.104,"Dryandra_main","TASH","2022-10-18 19:35:00","C",2,"NH32",32.526,0.72113338063143,"Non-havened","Dryandra",1.39
"96","NH36",2,"Exploration",71.749,"DNWS","TASH","2022-10-10 19:37:00","C",1,"NH36",63.9,0.890604747104489,"Havened","Dryandra",1.185
"97","NH38",2,"Exploration",6.227,"DNWS","TASH","2022-10-11 19:11:00","F",2,"NH38",5.532,0.888389272522884,"Havened","Dryandra",1.185
"98","NH42",2,"Exploration",35.6,"DNWS","TASH","2022-10-10 19:32:00","F",1,"NH42",2.126,0.0597191011235955,"Havened","Dryandra",1.185
"99","NH47",2,"Exploration",156.885,"DNWS","TASH","2022-10-10 21:24:00","C",1,"NH47",38.288,0.244051375211142,"Havened","Dryandra",1.185
"100","NH51",2,"Exploration",16.597,"DNWS","TASH","2022-09-11 21:09:00","C",3,"NH51",14.429,0.869373983249985,"Havened","Dryandra",1.185
"101","NH62",2,"Exploration",92.107,"Dryandra_main","TASH","2022-10-17 20:28:00","C",1,"NH62",32.34,0.351113379004853,"Non-havened","Dryandra",1.39
"102","NH63",2,"Exploration",128.581,"Dryandra_main","TASH","2022-10-17 19:16:00","C",1,"NH63",59.8,0.465076488750282,"Non-havened","Dryandra",1.39
"103","NH64",2,"Exploration",19.889,"DNWS","TASH","2022-10-10 19:20:00","C",1,"NH64",7.657,0.384986676052089,"Havened","Dryandra",1.185
"104","NH68",2,"Exploration",91.969,"Dryandra_main","TASH","2022-10-18 01:25:00","F",1,"NH68",57.844,0.628951059596168,"Non-havened","Dryandra",1.39
"105","WWF10",2,"Exploration",70.786,"Dryandra_main","GRBL","2022-10-18 03:23:00","F",1,"WWF10",42.842,0.605232673127455,"Non-havened","Dryandra",1.39
"106","WWF12",2,"Exploration",7.317,"DNWS","GRBL","2022-10-11 20:26:00","C",2,"WWF12",0.751,0.102637693043597,"Havened","Dryandra",1.185
"107","WWF16",2,"Exploration",5.26,"DNWS","TASH","2022-10-10 22:47:00","F",1,"WWF16",3.737,0.710456273764259,"Havened","Dryandra",1.185
"108","WWF18",2,"Exploration",93.328,"DNWS","TASH","2022-10-11 20:27:00","F",2,"WWF18",29.799,0.319293245328304,"Havened","Dryandra",1.185
"109","WWF21",2,"Exploration",1.103,"DNWS","TASH","2022-10-10 20:15:00","F",1,"WWF21",1.103,1,"Havened","Dryandra",1.185
"110","WWF4",2,"Exploration",13.466,"DNWS","GRBL","2022-10-11 20:22:00","F",2,"WWF4",10.867,0.806995395811674,"Havened","Dryandra",1.185
"111","WWF6",2,"Exploration",42.488,"Dryandra_main","GRBL","2022-10-18 00:21:00","F",1,"WWF6",11.922,0.280596874411599,"Non-havened","Dryandra",1.39
"112","WWF7",2,"Exploration",0.93,"DNWS","GRBL","2022-10-11 21:16:00","C",2,NA,0,0,"Havened","Dryandra",1.185
"113","WWF9",2,"Exploration",6.672,"DNWS","GRBL","2022-10-11 22:26:00","F",2,"WWF9",4.698,0.704136690647482,"Havened","Dryandra",1.185
"114","BOY11",3,"Exploration",30.028,"Boyicup","GRBL","2022-04-15 21:30:00","C",1,"BOY11",26.883,0.895264419874784,"Non-havened","Upper_Warren",0.494
"115","BOY12",3,"Exploration",219.045,"Boyicup","TASH","2022-04-16 19:28:00","C",2,"BOY12",55.029,0.251222351571595,"Non-havened","Upper_Warren",0.494
"116","BOY14",3,"Exploration",122.733,"Boyicup","TASH","2022-04-18 18:36:00","F",1,"BOY14",51.001,0.415544311635827,"Non-havened","Upper_Warren",0.494
"117","BOY22",3,"Exploration",271.588,"Boyicup","GRBL","2022-04-19 19:37:00","F",2,"BOY22",151.297,0.557082787162908,"Non-havened","Upper_Warren",0.494
"118","BOY3",3,"Exploration",29.107,"Boyicup","HAZE","2022-04-15 21:31:00","C",1,"BOY3",25.408,0.872917167691621,"Non-havened","Upper_Warren",0.494
"119","BOY5",3,"Exploration",107.175,"Boyicup","HAZE","2022-04-17 20:09:00","F",3,"BOY5",22.915,0.21380919057616,"Non-havened","Upper_Warren",0.494
"120","BOY6",3,"Exploration",92.146,"Boyicup","HAZE","2022-04-16 18:52:00","C",2,"BOY6",68.559,0.744025785167018,"Non-havened","Upper_Warren",0.494
"121","BOY7",3,"Exploration",17.496,"Boyicup","GRBL","2022-04-16 20:40:00","F",2,"BOY7",12.396,0.708504801097394,"Non-havened","Upper_Warren",0.494
"122","BOY9",3,"Exploration",45.052,"Boyicup","GRBL","2022-04-15 21:08:00","C",1,"BOY9",29.723,0.659748734795348,"Non-havened","Upper_Warren",0.494
"123","G12",3,"Exploration",69.252,"Perup_Sanctuary","HAZE","2022-04-22 22:03:00","F",1,"G12",42.158,0.608762201813666,"Havened","Upper_Warren",0.83
"124","H13",3,"Exploration",100.088,"Perup_Sanctuary","HAZE","2022-04-22 18:47:00","C",1,"H13",79.064,0.789944848533291,"Havened","Upper_Warren",0.83
"125","H15",3,"Exploration",4.398,"Perup_Sanctuary","GRBL","2022-04-19 18:04:00","C",1,"H15",3.122,0.709868121873579,"Havened","Upper_Warren",0.83
"126","I14",3,"Exploration",44.975,"Perup_Sanctuary","GRBL","2022-04-19 18:14:00","F",1,"I14",9.547,0.212273485269594,"Havened","Upper_Warren",0.83
"127","I16",3,"Exploration",175.758,"Perup_Sanctuary","TASH","2022-04-16 20:00:00","C",1,"I16",136.344,0.775748472331274,"Havened","Upper_Warren",0.83
"128","I19",3,"Exploration",59.867,"Perup_Sanctuary","TASH","2022-04-13 18:55:00","F",1,"I19",26.841,0.448343828820552,"Havened","Upper_Warren",0.83
"129","J15",3,"Exploration",222.965,"Perup_Sanctuary","TASH","2022-04-19 18:37:00","C",1,"J15",78.132,0.350422712084856,"Havened","Upper_Warren",0.83
"130","K12",3,"Exploration",136.993,"Perup_Sanctuary","GRBL","2022-04-22 19:27:00","C",1,"K12",107.42,0.784127656157614,"Havened","Upper_Warren",0.83
"131","K14",3,"Exploration",7.746,"Perup_Sanctuary","GRBL","2022-04-19 20:08:00","C",1,"K14",6.45,0.832687838884586,"Havened","Upper_Warren",0.83
"132","MOO19",3,"Exploration",61.944,"Moopinup","GRBL","2022-04-18 18:14:00","F",2,"MOO19",15.494,0.250129148908692,"Non-havened","Upper_Warren",0.346
"133","MOO20",3,"Exploration",31.516,"Moopinup","GRBL","2022-04-19 01:16:00","C",2,"MOO20",20.368,0.646274907983247,"Non-havened","Upper_Warren",0.346
"134","MOO3",3,"Exploration",42.002,"Moopinup","TASH","2022-04-15 19:40:00","C",2,"MOO3",16.221,0.386195895433551,"Non-havened","Upper_Warren",0.346
"135","NH03",3,"Exploration",1.84,"DNWS","TASH","2022-10-11 18:13:00","C",2,"NH03",1.84,1,"Havened","Dryandra",1.185
"136","NH08",3,"Exploration",41.695,"Dryandra_main","TASH","2022-10-18 21:01:00","F",2,"NH08",12.546,0.300899388415877,"Non-havened","Dryandra",1.39
"137","NH12",3,"Exploration",103.805,"Dryandra_main","TASH","2022-10-18 23:25:00","C",2,"NH12",16.698,0.160859303501758,"Non-havened","Dryandra",1.39
"138","NH15",3,"Exploration",5.456,"Dryandra_main","TASH","2022-10-18 14:09:00",NA,2,"NH15",5.456,1,"Non-havened","Dryandra",1.39
"139","NH24",3,"Exploration",33.308,"Dryandra_main","TASH","2022-10-19 00:56:00","C",2,"NH24",30.285,0.909241023177615,"Non-havened","Dryandra",1.39
