"","Station_Ammend","Night","Site","Treatment","Dine_in","Take_away","Total"
"1","BOY11",3,"Boyicup","C",1,0,1
"2","BOY12",2,"Boyicup","C",3,5,8
"3","BOY12",3,"Boyicup","C",6,3,9
"4","BOY13",1,"Boyicup","F",0,3,3
"5","BOY13",2,"Boyicup","F",2,2,4
"6","BOY13",3,"Boyicup","F",1,6,7
"7","BOY14",1,"Boyicup","F",5,2,7
"8","BOY14",2,"Boyicup","F",1,5,6
"9","BOY14",3,"Boyicup","F",1,5,6
"10","BOY15",1,"Boyicup","C",3,6,9
"11","BOY15",2,"Boyicup","C",2,4,6
"12","BOY15",3,"Boyicup","C",5,3,8
"13","BOY16",2,"Boyicup","C",4,3,7
"14","BOY16",3,"Boyicup","C",0,7,7
"15","BOY2",1,"Boyicup","F",4,5,9
"16","BOY2",2,"Boyicup","F",5,3,8
"17","BOY2",3,"Boyicup","F",1,2,3
"18","BOY22",2,"Boyicup","F",2,5,7
"19","BOY22",3,"Boyicup","F",3,4,7
"20","BOY3",1,"Boyicup","C",0,2,2
"21","BOY3",2,"Boyicup","C",4,0,4
"22","BOY5",3,"Boyicup","F",1,3,4
"23","BOY6",2,"Boyicup","C",0,7,7
"24","BOY6",3,"Boyicup","C",4,2,6
"25","BOY7",2,"Boyicup","F",0,14,14
"26","BOY7",3,"Boyicup","F",1,9,10
"27","BOY9",1,"Boyicup","C",5,3,8
"28","BOY9",2,"Boyicup","C",0,4,4
"29","BOY9",3,"Boyicup","C",1,3,4
"30","G12",1,"Perup_Sanctuary","F",3,4,7
"31","G12",2,"Perup_Sanctuary","F",6,0,6
"32","G12",3,"Perup_Sanctuary","F",7,0,7
"33","G14",3,"Perup_Sanctuary","F",8,5,13
"34","G16",1,"Perup_Sanctuary","F",5,2,7
"35","G16",2,"Perup_Sanctuary","F",1,5,6
"36","G16",3,"Perup_Sanctuary","F",3,4,7
"37","H13",1,"Perup_Sanctuary","C",3,4,7
"38","H13",2,"Perup_Sanctuary","C",2,5,7
"39","H13",3,"Perup_Sanctuary","C",4,1,5
"40","H15",1,"Perup_Sanctuary","C",0,7,7
"41","H15",2,"Perup_Sanctuary","C",0,7,7
"42","H15",3,"Perup_Sanctuary","C",0,8,8
"43","I14",1,"Perup_Sanctuary","F",5,2,7
"44","I14",2,"Perup_Sanctuary","F",3,3,6
"45","I14",3,"Perup_Sanctuary","F",3,3,6
"46","I16",1,"Perup_Sanctuary","C",1,7,8
"47","I16",2,"Perup_Sanctuary","C",4,3,7
"48","I16",3,"Perup_Sanctuary","C",4,1,5
"49","I19",3,"Perup_Sanctuary","F",0,2,2
"50","J15",1,"Perup_Sanctuary","C",5,3,8
"51","J15",2,"Perup_Sanctuary","C",1,6,7
"52","J15",3,"Perup_Sanctuary","C",1,3,4
"53","K12",1,"Perup_Sanctuary","C",2,4,6
"54","K12",2,"Perup_Sanctuary","C",1,6,7
"55","K12",3,"Perup_Sanctuary","C",2,5,7
"56","K14",1,"Perup_Sanctuary","C",0,6,6
"57","K14",2,"Perup_Sanctuary","C",2,2,4
"58","K14",3,"Perup_Sanctuary","C",3,1,4
"59","MOO16",1,"Moopinup","C",4,3,7
"60","MOO16",2,"Moopinup","C",4,3,7
"61","MOO16",3,"Moopinup","C",3,3,6
"62","MOO18",1,"Moopinup","C",1,7,8
"63","MOO18",2,"Moopinup","C",0,2,2
"64","MOO18",3,"Moopinup","C",1,3,4
"65","MOO19",3,"Moopinup","F",1,6,7
"66","MOO20",2,"Moopinup","C",1,2,3
"67","MOO20",3,"Moopinup","C",1,6,7
"68","MOO3",2,"Moopinup","C",0,4,4
"69","MOO3",3,"Moopinup","C",0,4,4
"70","MOO4",3,"Moopinup","C",3,2,5
"71","MOO5",3,"Moopinup","F",4,3,7
"72","NH03",3,"DNWS","C",1,5,6
"73","NH04",3,"Dryandra_main","C",0,6,6
"74","NH08",1,"Dryandra_main","F",1,0,1
"75","NH08",2,"Dryandra_main","F",1,0,1
"76","NH08",3,"Dryandra_main","F",3,0,3
"77","NH12",2,"Dryandra_main","C",2,0,2
"78","NH12",3,"Dryandra_main","C",2,5,7
"79","NH15",2,"Dryandra_main",NA,3,2,5
"80","NH31",2,"DNWS","F",0,7,7
"81","NH32",1,"Dryandra_main","C",0,1,1
"82","NH32",2,"Dryandra_main","C",1,4,5
"83","NH32",3,"Dryandra_main","C",4,1,5
"84","NH36",1,"DNWS","C",1,0,1
"85","NH36",2,"DNWS","C",3,0,3
"86","NH36",3,"DNWS","C",4,0,4
"87","NH42",2,"DNWS","F",3,2,5
"88","NH42",3,"DNWS","F",4,0,4
