"","Site","Station_Ammend","Observation.id","Observation.date","Description","Media.file","Total.length","FPS","Station","Start.Date","SD_card","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","Observer","StationDeployDate","Video_file_name","Date.modified","RFID","Treatment","Date_recorded","Time_recorded","RFID_DateTime","Night","Exclude","time_diff","group_id","inds","Individual_ID","group_sum","Behave_prop"
"1","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0006.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Move","Other",NA,"STATE",152.349,154.948,2.599,"",NA,"TASH",2022-04-15,"RCNX0006.AVI",2022-04-16 19:28:00,"R5","C",2022-04-16,19H 28M 0S,2022-04-16 19:28:00,2,NA,65880,3,1," 956000014804390",219.045,0.0118651418658267
"2","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0006.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Bipedal","Vigilance",NA,"STATE",154.949,156.279,1.33,"",NA,"TASH",2022-04-15,"RCNX0006.AVI",2022-04-16 19:28:00,"R5","C",2022-04-16,19H 28M 0S,2022-04-16 19:28:00,2,NA,0,3,1," 956000014804390",219.045,0.00607181172818371
"3","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0006.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Sniff station/cue","Exploration",NA,"STATE",156.28,163.646,7.366,"",NA,"TASH",2022-04-15,"RCNX0006.AVI",2022-04-16 19:28:00,"R5","C",2022-04-16,19H 28M 0S,2022-04-16 19:28:00,2,NA,0,3,1," 956000014804390",219.045,0.0336277933757904
"4","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0006.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Bipedal","Vigilance",NA,"STATE",163.647,165.049,1.402,"",NA,"TASH",2022-04-15,"RCNX0006.AVI",2022-04-16 19:28:00,"R5","C",2022-04-16,19H 28M 0S,2022-04-16 19:28:00,2,NA,0,3,1," 956000014804390",219.045,0.00640051131046132
"5","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0006.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Sniff station/cue","Exploration",NA,"STATE",165.05,177.052,12.002,"",NA,"TASH",2022-04-15,"RCNX0006.AVI",2022-04-16 19:28:00,"R5","C",2022-04-16,19H 28M 0S,2022-04-16 19:28:00,2,NA,0,3,1," 956000014804390",219.045,0.0547923942568879
"6","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0007.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Forage","Foraging",NA,"STATE",177.053,179.053,2,"",NA,"TASH",2022-04-15,"RCNX0007.AVI",2022-04-16 19:29:00,"R5","C",2022-04-16,19H 29M 0S,2022-04-16 19:29:00,2,NA,60,3,1," 956000014804390",219.045,0.00913054395215595
"7","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0007.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Bipedal","Vigilance",NA,"STATE",179.054,181.429,2.375,"",NA,"TASH",2022-04-15,"RCNX0007.AVI",2022-04-16 19:29:00,"R5","C",2022-04-16,19H 29M 0S,2022-04-16 19:29:00,2,NA,0,3,1," 956000014804390",219.045,0.0108425209431852
"8","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0007.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Forage","Foraging",NA,"STATE",181.43,212.915,31.485,"",NA,"TASH",2022-04-15,"RCNX0007.AVI",2022-04-16 19:29:00,"R5","C",2022-04-16,19H 29M 0S,2022-04-16 19:29:00,2,NA,0,3,1," 956000014804390",219.045,0.143737588166815
"9","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0008.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Bipedal","Vigilance",NA,"STATE",212.916,223.379,10.463,"",NA,"TASH",2022-04-15,"RCNX0008.AVI",2022-04-16 19:30:00,"R5","C",2022-04-16,19H 30M 0S,2022-04-16 19:30:00,2,NA,60,3,1," 956000014804390",219.045,0.0477664406857038
"10","Boyicup","BOY12","Boy12_NH63_20220415_TASH","2/05/2023 13:19",NA,"C:/Users/21116718/Desktop/Boy12_NH63_20220415/RCNX0008.AVI",2999.68,6.25,"BOY12","2022-04-15T00:00:00","NH63","Woylie1","Forage","Foraging",NA,"STATE",223.38,251.615,28.235,"",NA,"TASH",2022-04-15,"RCNX0008.AVI",2022-04-16 19:30:00,"R5","C",2022-04-16,19H 30M 0S,2022-04-16 19:30:00,2,NA,0,3,1," 956000014804390",219.045,0.128900454244562
